mapreduce.reduce.shuffle.input.buffer.percent,mapreduce.job.reduces,mapreduce.job.maps,mapreduce.task.io.sort.factor,mapreduce.task.io.sort.mb,mapreduce.reduce.shuffle.parallelcopies,mapreduce.reduce.shuffle.merge.percent,mapreduce.tasktracker.map.tasks.maximum,mapreduce.map.sort.spill.percent,NumberOfTest,Time
0.7,60,800,10,100,5,0.66,2,0.8,12_2,890
0.7,60,800,10,150,5,0.66,2,0.8,12_3,889
0.7,60,800,10,200,5,0.66,2,0.8,12_4,797
0.7,60,800,10,250,5,0.66,2,0.8,12_5,818
0.7,60,800,5,100,5,0.66,2,0.8,12_6,923
0.7,60,800,10,100,5,0.66,2,0.8,12_7,895
0.7,60,800,15,100,5,0.66,2,0.8,12_8,878
0.7,60,800,20,100,5,0.66,2,0.8,12_9,883
0.7,60,800,25,100,5,0.66,2,0.8,12_10,890
0.7,60,800,10,100,5,0.66,2,0.8,12_11,888
0.7,60,800,10,100,5,0.66,2,0.8,12_12,870
0.7,60,800,10,100,5,0.66,2,0.8,12_13,901
0.7,60,800,10,100,5,0.66,2,0.8,12_14,914
0.7,60,800,10,100,5,0.66,2,0.8,12_15,898
0.7,60,800,10,100,5,0.66,6,0.8,12_16,884
0.7,1,80,10,100,5,0.66,2,0.8,14_4,588
0.7,1,10,10,100,5,0.66,2,0.8,14_9,433
0.7,1,10,10,100,5,0.66,2,0.8,14_14,879
0.7,1,400,10,100,5,0.66,2,0.8,14_16,3006
0.7,1,1600,10,100,5,0.66,2,0.8,14_30,3408
0.7,9,1,10,100,5,0.66,2,0.8,15_32,192
0.7,9,1,10,100,5,0.66,2,0.8,15_33,204
0.7,1,1600,2,100,5,0.66,2,0.8,15_34,8729
0.7,1,1600,2,100,5,0.66,2,0.8,15_35,9072
0.7,1,1600,10,100,5,0.66,2,0.8,15_36,3426
0.7,1,1600,10,100,5,0.66,2,0.8,15_37,3300
0.7,1,1600,64,100,5,0.66,2,0.8,15_38,3508
0.7,1,1600,64,100,5,0.66,2,0.8,15_39,3469
0.7,9,1,10,100,5,0.66,2,0.8,15_40,196
0.7,9,1,10,100,5,0.66,2,0.8,15_41,202
0.7,9,1,10,100,5,0.66,2,0.8,15_42,197
0.7,9,1,10,100,5,0.66,2,0.8,15_43,200
0.7,9,1,10,100,5,0.66,2,0.8,15_44,198
0.7,9,1,10,100,5,0.66,2,0.8,15_45,199
0.7,1,1600,10,100,5,0.66,2,0.8,15_46,3328
0.7,1,1600,10,100,5,0.66,2,0.8,15_48,3000
0.7,1,1600,10,100,5,0.66,2,0.8,15_50,3348
0.7,9,1,10,100,5,0.66,2,0.1,15_52,183
0.7,9,1,10,100,5,0.66,2,0.1,15_53,179
0.7,9,1,10,100,5,0.66,2,0.3,15_54,189
0.7,9,1,10,100,5,0.66,2,0.3,15_55,184
0.7,9,1,10,100,5,0.66,2,0.8,15_56,196
0.7,9,1,10,100,5,0.66,2,0.8,15_57,191
0.1,1,1600,10,100,5,0.66,2,0.8,15_58,5082
0.1,1,1600,10,100,5,0.66,2,0.8,15_59,5072
0.3,1,1600,10,100,5,0.66,2,0.8,15_60,4182
0.3,1,1600,10,100,5,0.66,2,0.8,15_61,3723
0.8,1,1600,10,100,5,0.66,2,0.8,15_62,3232
0.8,1,1600,10,100,5,0.66,2,0.8,15_63,3099
0.7,1,1600,10,100,5,0.3,2,0.8,15_66,3676
0.7,1,1600,10,100,5,0.3,2,0.8,15_67,3687
0.7,1,1600,10,100,5,0.8,2,0.8,16_68,3259
0.7,1,1600,10,100,5,0.8,2,0.8,16_69,3237
0.7,1,1600,10,100,1,0.66,2,0.8,16_70,3452
0.7,1,1600,10,100,1,0.66,2,0.8,16_71,3512
0.7,1,1600,10,100,3,0.66,2,0.8,16_72,3444
0.7,1,1600,10,100,3,0.66,2,0.8,16_73,3415
0.7,1,1600,10,100,20,0.66,2,0.8,16_74,3229
0.7,1,1600,10,100,20,0.66,2,0.8,16_75,3418
0.7,9,1,10,20,5,0.66,2,0.8,16_76,231
0.7,9,1,10,20,5,0.66,2,0.8,16_77,206
0.7,9,1,10,100,5,0.66,2,0.8,16_78,198
0.7,9,1,10,100,5,0.66,2,0.8,16_79,190
0.7,9,1,10,500,5,0.66,2,0.8,16_80,165
0.7,9,1,10,500,5,0.66,2,0.8,16_81,166
0.7,9,1,10,100,5,0.66,2,0.8,16_82,189
0.7,9,1,10,100,5,0.66,2,0.8,16_83,197
0.7,9,1,10,100,5,0.66,2,0.8,16_84,188
0.7,9,1,10,100,5,0.66,2,0.8,16_85,189
0.7,9,1,10,100,5,0.66,2,0.8,16_86,201
0.7,9,1,10,100,5,0.66,2,0.8,16_87,201
0.7,1,1600,10,100,5,0.66,2,0.8,17_88,3312
0.7,1,1600,10,100,5,0.66,2,0.8,17_89,3110
0.7,1,1600,10,100,5,0.66,2,0.8,17_90,3418
0.7,1,1600,10,100,5,0.66,2,0.8,17_91,3403
0.7,1,1600,10,100,5,0.66,2,0.8,17_92,3352
0.7,1,1600,10,100,5,0.66,2,0.8,17_93,3580
